4/05/2021 23:30:45,a1@gmail.com,A1,27,No,"Lunes, Martes, Jueves, Viernes","19:00-21:00, 20:00-22:00, 21:00-23:00","19:00-21:00, 20:00-22:00, 21:00-23:00","19:00-21:00, 20:00-22:00, 21:00-23:00",,"19:00-21:00, 20:00-22:00, 21:00-23:00"
4/05/2021 23:32:47,a2@gmail.com,A2,27,Ponele (fui pero no entendí una goma / me aburrieron / etc),"Lunes, Martes, Miércoles, Jueves","19:00-21:00, 20:00-22:00","18:00-20:00, 19:00-21:00, 20:00-22:00","18:00-20:00, 19:00-21:00, 20:00-22:00","18:00-20:00, 19:00-21:00, 20:00-22:00",
4/05/2021 23:41:39,a3@gmail.com,A3,32,Ponele (fui pero no entendí una goma / me aburrieron / etc),"Miércoles, Viernes","18:00-20:00, 19:00-21:00, 20:00-22:00","18:00-20:00, 19:00-21:00, 20:00-22:00","18:00-20:00, 19:00-21:00, 20:00-22:00","17:00-19:00, 18:00-20:00, 19:00-21:00, 20:00-22:00","18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00"
4/05/2021 23:52:36,a4@gmail.com,A4,31,No,"Lunes, Martes, Miércoles, Jueves, Viernes","13:00-15:00, 14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00, 18:00-20:00","14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00, 18:00-20:00","14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00, 18:00-20:00","14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00, 18:00-20:00","14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00, 18:00-20:00"
5/05/2021 0:11:46,a5@hotmail.com,A5,41,Sí,"Miércoles, Viernes",,,09:00-11:00,,09:00-11:00
5/05/2021 0:13:37,a6@gmail.com,A6,32,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes","14:00-16:00, 15:00-17:00","14:00-16:00, 15:00-17:00","14:00-16:00, 15:00-17:00","14:00-16:00, 15:00-17:00","14:00-16:00, 15:00-17:00"
5/05/2021 0:16:47,a7@outlook.com,A7,22,Ponele (fui pero no entendí una goma / me aburrieron / etc),"Lunes, Martes, Miércoles","18:00-20:00, 19:00-21:00","17:00-19:00, 18:00-20:00, 19:00-21:00","17:00-19:00, 18:00-20:00, 19:00-21:00",,
5/05/2021 0:23:34,a8@gmail.com,A8,19,No,"Lunes, Miércoles, Viernes","09:00-11:00, 10:00-12:00, 17:00-19:00, 20:00-22:00, 21:00-23:00",,"09:00-11:00, 10:00-12:00, 17:00-19:00, 21:00-23:00",,"09:00-11:00, 10:00-12:00, 17:00-19:00, 18:00-20:00, 21:00-23:00"
5/05/2021 0:35:35,a9@gmail.com,A9,35,Sí,"Martes, Jueves, Viernes",,"12:00-14:00, 18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00",,"12:00-14:00, 18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00","12:00-14:00, 18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00"
5/05/2021 0:38:02,b1@gmail.com,B1,21,No,"Lunes, Martes, Miércoles, Jueves, Viernes","09:00-11:00, 10:00-12:00, 11:00-13:00, 12:00-14:00, 13:00-15:00, 14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00","09:00-11:00, 10:00-12:00, 11:00-13:00, 12:00-14:00, 13:00-15:00, 14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00","09:00-11:00, 10:00-12:00, 11:00-13:00, 12:00-14:00, 13:00-15:00, 14:00-16:00, 15:00-17:00, 16:00-18:00","09:00-11:00, 10:00-12:00, 11:00-13:00, 12:00-14:00, 13:00-15:00, 14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00","09:00-11:00, 10:00-12:00, 11:00-13:00, 12:00-14:00, 13:00-15:00, 14:00-16:00, 15:00-17:00, 16:00-18:00, 17:00-19:00"
5/05/2021 0:59:55,b2@gmail.com,B2,24,Ponele (fui pero no entendí una goma / me aburrieron / etc),"Martes, Miércoles, Jueves",,"17:00-19:00, 18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00","17:00-19:00, 18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00","17:00-19:00, 18:00-20:00, 19:00-21:00, 20:00-22:00, 21:00-23:00",
